Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
122,Blue_whale,Balaenoptera musculus,5.850047571,80.42347476,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
123,Blue_whale,Balaenoptera musculus,5.846973728,80.42543084,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
124,Blue_whale,Balaenoptera musculus,5.8391494,80.43828509,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
125,Blue_whale,Balaenoptera musculus,5.841384922,80.44499166,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
126,Blue_whale,Balaenoptera musculus,5.844738206,80.43716733,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
127,Blue_whale,Balaenoptera musculus,5.850047571,80.43437293,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
128,Blue_whale,Balaenoptera musculus,5.852841974,80.43129909,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
129,Blue_whale,Balaenoptera musculus,5.856474698,80.43157853,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
130,Blue_whale,Balaenoptera musculus,5.853680295,80.43577013,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
131,Blue_whale,Balaenoptera musculus,5.85871022,80.43772621,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
132,Blue_whale,Balaenoptera musculus,5.856195258,80.44443278,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
133,Blue_whale,Balaenoptera musculus,5.853400855,80.44135894,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
134,Blue_whale,Balaenoptera musculus,5.831883952,80.43409349,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
135,Blue_whale,Balaenoptera musculus,5.837752199,80.43213741,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
136,Blue_whale,Balaenoptera musculus,5.808690408,80.42431308,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
137,Blue_whale,Balaenoptera musculus,5.820985781,80.43353461,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
138,Blue_whale,Balaenoptera musculus,5.822103542,80.44163838,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
139,Blue_whale,Balaenoptera musculus,5.821265221,80.44610942,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
140,Blue_whale,Balaenoptera musculus,5.81064649,80.43940286,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
141,Blue_whale,Balaenoptera musculus,5.804219364,80.44052062,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
142,Blue_whale,Balaenoptera musculus,5.794159513,80.42990189,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
143,Blue_whale,Balaenoptera musculus,5.788291267,80.43856453,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
144,Blue_whale,Balaenoptera musculus,5.771245409,80.42990189,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
145,Blue_whale,Balaenoptera musculus,5.7628622,80.45644871,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
146,Blue_whale,Balaenoptera musculus,5.793041752,80.45197767,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
147,Blue_whale,Balaenoptera musculus,5.756993954,80.50535076,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
148,Blue_whale,Balaenoptera musculus,5.775437014,80.48970211,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
149,Blue_whale,Balaenoptera musculus,5.784099663,80.48103946,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
150,Blue_whale,Balaenoptera musculus,5.792482871,80.47740673,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
151,Blue_whale,Balaenoptera musculus,5.789409028,80.49333483,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
152,Blue_whale,Balaenoptera musculus,5.797512797,80.49948252,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
153,Blue_whale,Balaenoptera musculus,5.8003072,80.50954237,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
154,Blue_whale,Balaenoptera musculus,5.806734326,80.50618908,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
155,Blue_whale,Balaenoptera musculus,5.805616565,80.50060028,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
156,Blue_whale,Balaenoptera musculus,5.808131528,80.49780588,,2007-2013,Anderson&Alagiyawadu 2019,,Blue_whale,Publication
